UUID,DATE,TIME,HOLDING_POINT,EDGE ROTATION,EDGE DIST,EDGE ANGLE,SIDE,MARKING, LIGHT,LONG DIST,LAT DIST,ANGLE,SHA256,CORRECTION,COMMENT,MODIF,SEED,FLIP,SKEW_SIDE,SKEW_TOP,ROTATE_LEFT,ROTATE_RIGHT,BRIGHT,DARK,SHEAR_LEFT,SHEAR_RIGHT,DISTORT,CONTRAST,ORIGINAL,Unnamed: 0
7005d502-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:04:36,0,0,0,0,0,0,0,0,0,0.0,8ea16d645ef4a07b17a7248d76f5fc81a7a6996ad93b456ab462159ab34450e9,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
7564d3cc-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:04:45,0,0,0,0,0,0,0,0,0,22.5,f89ec9d899133963359428960d403ad4c304b461ca8e416c48d1978fedfde2d7,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
76301348-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:04:46,0,0,0,0,0,0,0,0,0,45.0,8b67de4157607728d0c4efa0d7a72d4ad5295ad9d321bcfac5a1457fb355f3be,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
770ad2d0-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:04:48,0,0,0,0,0,0,0,0,0,67.5,0606c1b738a15062817854af28525c13b66f64302893edadbcf0bfeb4e489ccb,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
77d07a6c-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:04:49,0,0,0,0,0,0,0,0,0,90.0,f74760e4b7320a2bb576b1ca1f3c40f30bb4b90323e6e3e6687ef095fccf9bca,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
78bf9732-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:04:51,0,0,0,0,0,0,0,15,0,0.0,0e5840629a74720b647352c7dd803cbdb45990facbaee91a6d632cfc584cffd2,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
799a6cc2-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:04:52,0,0,0,0,0,0,0,15,0,22.5,4c5154c2bd2a267f40f9ad1abd476d40d3cf47a01d999961574430055b2942b3,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
7a760854-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:04:54,0,0,0,0,0,0,0,15,0,45.0,de42a08cee8a6d5157e82d0a3dd3a6df207fc6510f7ef625cf6304bacdb8f7f3,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
7bdd63d6-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:04:56,0,0,0,0,0,0,0,15,0,67.5,0d86cfa14e957cef43e35ed31a3ac44ee96934dcabc8f066ea60010b509a4e9c,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
7d327708-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:04:58,0,0,0,0,0,0,0,15,0,90.0,7ac4c097115959aefcf73647d1d6509fca6ccd63542c460bc951f2c72c7fd4bc,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
8ae40fb0-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:05:21,0,0,0,0,0,0,0,30,0,0.0,a3d1a3d19421d8cfa93b9d21159420d1e1b2eaf9d7548699b46124707b9a8c85,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
8c152c16-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:05:23,0,0,0,0,0,0,0,30,0,22.5,4d5b82078eeab84f564661e167f1f7e0772d4d54aebf69170c75450d2c07fab8,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
8d23b01e-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:05:25,0,0,0,0,0,0,0,30,0,45.0,3e0c099ba336c734c1e78ab82e1b2c81e778e2ee3b06fb1b99de08fe04810684,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
8d938c04-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:05:26,0,0,0,0,0,0,0,30,0,67.5,819db81dbdd08285e143fb0258c0dedbdb16c5c04832622b4ce4b4e714b9d717,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
9020c7de-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:05:30,0,0,0,0,0,0,0,30,0,90.0,5572e5ab05f4de6dc52ca8507f5663687e0c94e1c2c16473d2c9fdd1314a91ae,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
90dab50e-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:05:31,0,0,0,0,0,0,0,45,0,0.0,dd5f1994cadd9b472af7c6e2ed33e5b268d02927b6ae1149eabc35560bc845ea,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
91e65e6c-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:05:33,0,0,0,0,0,0,0,45,0,22.5,ae8bc934e49972107f8a21de82cef10a0b2c90bad36659534d3fc6eca7f28d1b,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
92d07358-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:05:34,0,0,0,0,0,0,0,45,0,45.0,c1afb1da70639bf14980ed98d9846fccc52241657c98d64be505d432e64db0a1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
93df7e88-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:05:36,0,0,0,0,0,0,0,45,0,67.5,0c22596310d2e89c8b218788bf5ffc99fec3b174ae7215b45343b386d8ca7493,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
94b5cdda-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:05:38,0,0,0,0,0,0,0,45,0,90.0,88d58b05cc2b8c2dee2332010a4ceb9c22d0d3295e22d6e3c76a1888ca5aed9a,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
95ed8d96-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:05:40,0,0,0,0,0,0,0,60,0,0.0,4d333fe03d2d84eb651c651d1911388d74fe1f43a0ea074b1083235e155e7ee6,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
96d0b8be-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:05:41,0,0,0,0,0,0,0,60,0,22.5,8b0f28b800916514f186e005d05b8edade64af2175a6ff6b1440cabcbe94263e,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
97c0aa40-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:05:43,0,0,0,0,0,0,0,60,0,45.0,dd8f77ec94a201905749abe9ca396749edc860378e1b51e8468c09a4b5bb33fe,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
98cbf322-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:05:45,0,0,0,0,0,0,0,60,0,67.5,87d114171e4f18f779b34254ae6986d0096ced8331bbadeb2786242427db9d45,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
99b6251e-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:05:46,0,0,0,0,0,0,0,60,0,90.0,61f45ffb0e4e7aa6ad539f7eb0148e8041fe82958d82849876048d96d3b9e1a8,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
9aa260dc-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:05:48,0,0,0,0,0,0,0,0,15,0.0,4f0ff3a190ea52baa1758e00af187e239c93462ca1b02f77b791dfff06dffd06,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
9b98c5c6-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:05:49,0,0,0,0,0,0,0,0,15,22.5,28f977090bad0bda9c8cd471e6f29160d6bc31132f976803b56089e1b76504bd,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
9cb40754-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:05:51,0,0,0,0,0,0,0,0,15,45.0,dd7ac1727a3cc7a29a8192b5efea56f5aa497a94048f7bfc67632753f4f72bf0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
9d8eb4da-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:05:53,0,0,0,0,0,0,0,0,15,67.5,920e6632eddd2add1c7e93888e653fb555ae3b95e15eecf40a6386e1f730c26b,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
9ff02556-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:05:57,0,0,0,0,0,0,0,0,15,90.0,5a9505b1bfbfbcf33e557809db0d768f3bf63c749aa33fda2215f156a37984a9,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
a0da76b0-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:05:58,0,0,0,0,0,0,0,15,15,0.0,6784fb72a321c7abbf5e14944461891be2421ec60646911d1c7ec39514540be4,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
a1c49146-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:06:00,0,0,0,0,0,0,0,15,15,22.5,b5dcc76e47ed55975256253817fb4b4ae788528aa0f3029ea3ee9f4066ca87ef,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
a2af45ce-b259-11eb-9445-16f63a1aa8c9,11-05-21,15:06:01,0,0,0,0,0,0,0,15,15,45.0,4fbec47af81b8c25f8583f8f96d9e073a5dbc916b95d12ade521a576cb1394e5,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
